"id","text","answer","a","b","c","d"
"1","Given an unsorted array of integers, which data structure would you use to efficiently find the median after each insertion?","Heap","Array","Linked List","Heap","Stack"
"2","You need to implement a browser's back and forward navigation. Which data structure is most appropriate for this task?","Stack","Queue","Stack","Array","Graph"
"3","Which data structure would you use to implement an efficient priority queue?","Heap","Array","Linked List","Heap","Stack"
"4","You need to store a dynamic set of strings and perform efficient prefix searches. Which data structure should you use?","Trie","Array","Trie","Hash Table","Linked List"
"5","Which data structure would you use to implement a LRU (Least Recently Used) cache?","Hash Table with Doubly Linked List","Array","Stack","Queue","Hash Table with Doubly Linked List"
"6","You need to implement a system that handles a large number of range queries efficiently. Which data structure should you use?","Segment Tree","Array","Linked List","Segment Tree","Stack"
"7","Which data structure would you use to implement a spell checker that suggests corrections for misspelled words?","Trie","Array","Trie","Hash Table","Queue"
"8","You need to implement a system that processes tasks based on their priority. Which data structure should you use?","Priority Queue","Array","Linked List","Priority Queue","Stack"
"9","Which data structure would you use to implement a dynamic associative array?","Hash Table","Array","Linked List","Hash Table","Stack"
"10","You need to implement a system that efficiently handles frequent insertions and deletions of elements. Which data structure should you use?","Linked List","Array","Linked List","Stack","Queue"
